# This file is released under the Creative Commons Attribution 3.0 Unported
# (CC-BY <http://creativecommons.org/licenses/by/3.0/>).
#
# Copyright 2010 Kellen Parker, Allan Simon
# It was compiled by Kellen Parker and Allan Simon
# http://www.sinoglot.com/wu/tools/data/.
#
# Mapping of Chinese characters to their Shanghainese pronunciation in IPA.
#
# ChineseCharacter, IPA
饶	ɲiɔ⁵³
饒	ɲiɔ⁵³
荛	ɲiɔ⁵³
蕘	ɲiɔ⁵³
蟯	ɲiɔ⁵³
屹	ɲiɪˀ¹²
岌	ɲiɪˀ¹²
圪	ɲiɪˀ¹²
入	ɲiɪˀ¹²
匿	ɲiɪˀ¹²
啮	ɲiɪˀ¹²
嗫	ɲiɪˀ¹²
嚙	ɲiɪˀ¹²
囁	ɲiɪˀ¹²
仡	ɲiɪˀ¹²
櫱	ɲiɪˀ¹²
涅	ɲiɪˀ¹²
業	ɲiɪˀ¹²
日	ɲiɪˀ¹²
昵	ɲiɪˀ¹²
溺	ɲiɪˀ¹²
孽	ɲiɪˀ¹²
业	ɲiɪˀ¹²
热	ɲiɪˀ¹²
熱	ɲiɪˀ¹²
蹑	ɲiɪˀ¹²
顳	ɲiɪˀ¹²
鎳	ɲiɪˀ¹²
颞	ɲiɪˀ¹²
逆	ɲiɪˀ¹²
鑷	ɲiɪˀ¹²
镊	ɲiɪˀ¹²
镍	ɲiɪˀ¹²
陧	ɲiɪˀ¹²
隉	ɲiɪˀ¹²
聶	ɲiɪˀ¹²
聂	ɲiɪˀ¹²
臬	ɲiɪˀ¹²
蘖	ɲiɪˀ¹²
邺	ɲiɪˀ¹²
躡	ɲiɪˀ¹²
鄴	ɲiɪˀ¹²
壤	ɲiɑ̃²³
嚷	ɲiɑ̃²³
仰	ɲiɑ̃²³
攘	ɲiɑ̃²³
酿	ɲiɑ̃³⁴
釀	ɲiɑ̃³⁴
让	ɲiɑ̃³⁴
讓	ɲiɑ̃³⁴
孃	ɲiɑ̃⁵³
娘	ɲiɑ̃⁵³
穰	ɲiɑ̃⁵³
禳	ɲiɑ̃⁵³
冗	ɲioŋ²³
喁	ɲioŋ⁵³
浓	ɲioŋ⁵³
濃	ɲioŋ⁵³
绒	ɲioŋ⁵³
絨	ɲioŋ⁵³
狨	ɲioŋ⁵³
茸	ɲioŋ⁵³
女	ɲy²³
圄	ɲy²³
圉	ɲy²³
俣	ɲy²³
俁	ɲy²³
釹	ɲy²³
語	ɲy²³
钕	ɲy²³
语	ɲy²³
齬	ɲy²³
龉	ɲy²³
寓	ɲy³⁴
御	ɲy³⁴
禦	ɲy³⁴
驭	ɲy³⁴
遇	ɲy³⁴
蚋	ɲy³⁴
馭	ɲy³⁴
愚	ɲy⁵³
娱	ɲy⁵³
娛	ɲy⁵³
禺	ɲy⁵³
隅	ɲy⁵³
虞	ɲy⁵³
矮	ɑ²³
媪	ɔ²³
媼	ɔ²³
拗	ɔ²³
袄	ɔ²³
襖	ɔ²³
嗳	ɛ²³
噯	ɛ²³
藹	ɛ²³
霭	ɛ²³
靄	ɛ²³
蔼	ɛ²³
隘	ɑ³⁴
岙	ɔ³⁴
坳	ɔ³⁴
奧	ɔ³⁴
奥	ɔ³⁴
懊	ɔ³⁴
澳	ɔ³⁴
嶴	ɔ³⁴
嬡	ɛ³⁴
嫒	ɛ³⁴
叆	ɛ³⁴
愛	ɛ³⁴
暧	ɛ³⁴
曖	ɛ³⁴
爱	ɛ³⁴
瑷	ɛ³⁴
璦	ɛ³⁴
凹	ɔ⁵³
爊	ɔ⁵³
鏖	ɔ⁵³
哀	ɛ⁵³
埃	ɛ⁵³
誒	ɛ⁵³
鎄	ɛ⁵³
锿	ɛ⁵³
诶	ɛ⁵³
軋	ɑˀ¹²
轧	ɑˀ¹²
壓	ɑˀ⁵⁵
厄	ɑˀ⁵⁵
压	ɑˀ⁵⁵
呃	ɑˀ⁵⁵
阿	ɑˀ⁵⁵
軛	ɑˀ⁵⁵
轭	ɑˀ⁵⁵
鸭	ɑˀ⁵⁵
鴨	ɑˀ⁵⁵
冼	ɕi²³
燹	ɕi²³
筅	ɕi²³
癬	ɕi²³
癣	ɕi²³
选	ɕi²³
跣	ɕi²³
藓	ɕi²³
蘚	ɕi²³
選	ɕi²³
跽	ʥi²³
鲚	ʑi²³
鱭	ʑi²³
渲	ɕi³⁴
線	ɕi³⁴
綫	ɕi³⁴
线	ɕi³⁴
霰	ɕi³⁴
腺	ɕi³⁴
技	ʥi³⁴
忌	ʥi³⁴
偈	ʥi³⁴
洎	ʥi³⁴
伎	ʥi³⁴
妓	ʥi³⁴
芰	ʥi³⁴
哜	ʑi³⁴
嚌	ʑi³⁴
寫	ɕia²³
写	ɕia²³
巧	ʥia²³
暹	ɕi⁵³
氙	ɕi⁵³
宣	ɕi⁵³
先	ɕi⁵³
仙	ɕi⁵³
碹	ɕi⁵³
秈	ɕi⁵³
籼	ɕi⁵³
纤	ɕi⁵³
纖	ɕi⁵³
鲜	ɕi⁵³
鮮	ɕi⁵³
岐	ʥi⁵³
歧	ʥi⁵³
淇	ʥi⁵³
棋	ʥi⁵³
旗	ʥi⁵³
期	ʥi⁵³
奇	ʥi⁵³
其	ʥi⁵³
圻	ʥi⁵³
俟	ʥi⁵³
亓	ʥi⁵³
崎	ʥi⁵³
琪	ʥi⁵³
祁	ʥi⁵³
祈	ʥi⁵³
畿	ʥi⁵³
祺	ʥi⁵³
綦	ʥi⁵³
琦	ʥi⁵³
畦	ʥi⁵³
畸	ʥi⁵³
蕲	ʥi⁵³
鳍	ʥi⁵³
骐	ʥi⁵³
骑	ʥi⁵³
芪	ʥi⁵³
鰭	ʥi⁵³
颀	ʥi⁵³
錡	ʥi⁵³
锜	ʥi⁵³
跂	ʥi⁵³
耆	ʥi⁵³
萁	ʥi⁵³
蘄	ʥi⁵³
蜞	ʥi⁵³
麒	ʥi⁵³
騎	ʥi⁵³
騏	ʥi⁵³
頎	ʥi⁵³
徐	ʑi⁵³
脐	ʑi⁵³
臍	ʑi⁵³
齊	ʑi⁵³
齐	ʑi⁵³
薺	ʑi⁵³
蛴	ʑi⁵³
荠	ʑi⁵³
蠐	ʑi⁵³
泻	ɕia³⁴
卸	ɕia³⁴
瀉	ɕia³⁴
翹	ʥia³⁴
窍	ʥia³⁴
翘	ʥia³⁴
竅	ʥia³⁴
榭	ʑia³⁴
謝	ʑia³⁴
谢	ʑia³⁴
敲	ʥia⁵³
橇	ʥia⁵³
蹺	ʥia⁵³
鞒	ʥia⁵³
跷	ʥia⁵³
鞽	ʥia⁵³
斜	ʑia⁵³
琊	ʑia⁵³
